sample_id,original_id,content,labels,implied_statement,rationale,reviewer1_relevance,reviewer1_faithfulness,reviewer1_completeness,reviewer2_relevance,reviewer2_faithfulness,reviewer2_completeness,notes
11,5980,Tại mấy a tàu mà ra,"individuals#offensive, groups#offensive, race#offensive",Trung Quốc là nguyên nhân,"Cách nói ""Tại mấy a tàu mà ra"" sử dụng từ ngữ không chuẩn mực để chỉ trích đối tượng Trung Quốc. | Cách dùng ""a tàu"" mang tính chất miệt thị và xúc phạm, thể hiện định kiến tiêu cực. | Cách nói này nhằm đổ lỗi cho đối tượng theo quan điểm tiêu cực một cách cộc cằn. | Ngôn từ kỳ thị này phù hợp với mức độ 'offensive' vì nó dùng để hạ thấp giá trị của nhóm bị nhắm tới.",,,,,,,
12,75,"Nguyễn Jonh thật ra Mỹ chỉ chống học thuyết cộng sản nói riêng và những nước gây bất ổn cho thế giới, chứ Mỹ ko xem độc tài như kẻ thù bất cộng đái thiên nếu loại độc tài đó chỉ làm khổ dân nước đó mà ko ảnh hưởng đến dân nước Mỹ. Đến giờ các quốc gia","race#offensive, politics#offensive",Mỹ chỉ vì lợi ích riêng,"Cách phân tích của Nguyễn Jonh cho thấy sự giảm sút giá trị của các quốc gia khi chỉ vì lợi ích riêng. | Việc sử dụng mục từ ""học thuyết cộng sản"" và ""độc tài"" kèm theo ngữ cảnh phê phán thể hiện thái độ mỉa mai. | Ngôn từ mang tính so sánh giữa độc tài và lợi ích dân tộc nhằm chế giễu quan điểm đối lập. | Giọng điệu này phù hợp với mức độ ""offensive"" đối với cả chủng tộc và vấn đề chính trị.",,,,,,,
13,3228,Cái lồn mẹ. Mấynhoom trước tao buk mình thì đỵt có chỗ nào xả. Hôm nay nguôi ngoai cả r thì mới tìm ra cái chổ chửi xả. Đỵt mẹ đời. Lồn mẹ chúng mày kể cả thằng ad mặt lồn bước ra đây để bố xem mặt,"individuals#hate, groups#hate","Thể hiện sự thù hằn, coi người khác là hạ cấp, xứng đáng bị chửi rủa","Câu nói chứa nhiều từ ngữ tục tĩu như ""lồn mẹ"" và ""đỵt"" nhằm tấn công danh dự người đối diện. | Việc lặp đi lặp lại các từ ngữ xúc phạm cho thấy sự thù hằn rõ rệt. | Ngôn từ không chỉ nhằm gây xúc phạm mà còn cố tình hạ thấp phẩm giá của đối tượng. | Cách sử dụng ngôn từ dày đặc tính thù địch phản ánh mức hate rõ rệt.",,,,,,,
14,5805,Xin tộc trưởng hãy cho Hiếu lợn thần ra trận! Đảm bảo sẽ có chiến thắng,individuals#hate,xúc phạm bằng ngôn ngữ,"Việc gọi ai đó là ""Hiếu lợn thần"" là một cách xúc phạm cá nhân rõ ràng. | Cách sử dụng danh xưng không chính thức và châm biếm nhằm hạ giá trị của đối tượng. | Cách nói mang tính kỳ thị và chế giễu mà phản ánh định kiến tiêu cực về người mà đối tượng được chỉ trích. | Ngôn từ được sử dụng với mục đích gây xúc phạm và bôi phế hình ảnh của đối tượng, phù hợp với mức hate.",,,,,,,
15,3263,Con này nó chửi cho đã rồi lên khóc lóc xin lỗi sao như bánh tráng mặt lật dữ vậy ta,individuals#hate,phụ nữ hay giả tạo,Việc mô tả đối tượng 'chửi cho đã rồi lên khóc lóc xin lỗi' nhằm châm biếm hành vi giả tạo. | So sánh với 'bánh tráng mặt lật' dùng ngôn từ hàm ý nhạo báng về giao tiếp và cách thể hiện cảm xúc. | Những từ ngữ và cụm từ gây kích động này tạo nên một hình ảnh phụ nữ không trung thực và hỏng hóc. | Giọng điệu chung mang tính chất hạ bệ và chế nhạo dẫn đến ẩn ý đánh giá phụ nữ là giả tạo.,,,,,,,
16,4019,Hay ho con cặc j mà tối ngày đụ với chả địt,"individuals#offensive, groups#offensive",thể hiện sự miệt thị và xúc phạm nặng nề,"Sử dụng từ ngữ tục tĩu như ""cặc"", ""đụ"", ""địt"" nhằm mục đích xúc phạm đối tượng một cách thô lỗ. | Ngôn từ này có tính chất khiêu khích, thể hiện sự miệt thị và khinh thường đối với người nghe. | Sự lấn át của lời nói gây cảm giác rằng người nói không tôn trọng giá trị của đối tượng. | Mức độ sử dụng từ tục và cách trình bày phù hợp với mức độ ""offensive"" trong nhãn được đưa ra.",,,,,,,
17,2431,Thằng nào mạnh chẳng muốn ăn thằng khác. VN lúc có quân đội mạnh tí nữa thì nuốt đc thằng Cam kìa :)),race#offensive,kẻ mạnh nuốt kẻ yếu,Sử dụng phép ẩn dụ 'ăn' để miêu tả mối quan hệ kẻ mạnh với kẻ yếu theo cách bạo lực. | Câu nói 'VN lúc có quân đội mạnh tí nữa thì nuốt đc thằng Cam' nhắm vào đối thủ bằng hình ảnh hung hãn. | Việc dùng từ 'thằng Cam' nhằm chỉ trích đối tượng Mỹ một cách miệt thị. | Giọng điệu kiêu ngạo này phù hợp với mức độ 'offensive' khi dùng ngôn từ gây tổn thương.,,,,,,,
18,4616,Hít hết mẹ r còn đâu :))))),"individuals#offensive, groups#offensive",hút chích là tệ nạn,"Câu nói sử dụng lời lẽ thô tục như ""Hít hết mẹ"" nhằm châm biếm hành vi hút thuốc hay ma túy. | Biểu tượng cảm xúc cười liên tục làm tăng tính chế giễu của lời nói. | Ngôn ngữ phiếm dã và mỉa mai nhằm thể hiện sự khinh thường đối với hành vi được cho là tệ nạn. | Cách diễn đạt này phù hợp với nhãn ""offensive"" của cá nhân và nhóm khi sử dụng ngôn từ đầy xúc phạm.",,,,,,,
19,2012,Trương q.huy ...trương chột  dịch nầy trốn trong lùm nào rồi mà không thấy sủa nữa ta,individuals#hate,người khuyết tật đáng khinh,Cách nhắc tới “Trương chột” mang tính châm biếm và cố ý xúc phạm. | Giọng văn mỉa mai làm giảm giá trị của đối tượng. | Cách sử dụng ngôn từ khắc nghiệt nhằm hạ thấp phẩm giá của người bị gọi. | Sự xúc phạm trực tiếp theo ngữ cảnh hate rõ ràng.,,,,,,,
20,1972,"Ad nói đúng,còn những thằng phản bác ở đây toàn là lũ vô học nói làm đéo gì",groups#hate,người phản đối là vô học,"Việc gọi nhóm đối lập là 'thằng phản bắc' tạo ra sự chia rẽ rõ rệt trên nền tảng ý kiến. | Từ 'lũ vô học' được sử dụng để hạ thấp trí tuệ của những người phản đối. | Giọng điệu chế giễu rõ nét với mục đích làm mất uy tín của nhóm đối tượng. | Cách nói này phản ánh sự thù địch và định kiến, phù hợp với mức độ 'hate'.",,,,,,,
21,5250,Hoàng Vũ có tiền thì thằng đéo nào cũng đẹp🙂,individuals#offensive,tiền bạc quyết định vẻ đẹp,"Cụm từ 'thằng đéo' là lời nói tục tĩu nhằm xúc phạm đối tượng. | Cấu trúc câu 'có tiền thì ... đẹp' cho thấy thái độ đánh giá con người qua tiền bạc. | Ngôn ngữ mang tính đánh giá bề ngoài, thể hiện định kiến về vẻ đẹp và giá trị cá nhân. | Cách diễn đạt này góp phần củng cố quan niệm tiêu cực rằng ngoại hình phụ thuộc vào tài sản.",,,,,,,
22,4235,Ánh sáng của đảng sẽ giết mày,"individuals#offensive, politics#hate",đảng đàn áp người dân,Cụm từ “Ánh sáng của đảng” được dùng mỉa mai nhằm chế giễu hệ thống chính trị. | Lời đe dọa “sẽ giết mày” là một khai biểu rõ ràng của hành động bạo lực đối với đối tượng. | Sự kết hợp giữa lời nói châm biếm và đe dọa tạo nên thái độ cực kỳ thù địch. | Ngôn từ trực diện và kích động khớp với mức độ hate đối với chính trị và cá nhân.,,,,,,,
23,2134,Coi tu chu den khach.met dai qua.noi chui ma deo thay chui toan la quang cao xam lo ko,individuals#hate,người sáng tạo nội dung lừa dối,"Cách nói “tu chu den khach” dùng ngôn từ mơ hồ để chê bai đối tượng sáng tạo nội dung. | Việc nói “noi chui” và “deo thay chui” mang tính xúc phạm và chế nhạo cao. | Ngôn từ này nhằm đánh giá tiêu cực toàn diện về phẩm chất của đối tượng. | Sắc thái ngôn từ rõ ràng nhằm hạ thấp giá trị cá nhân, phù hợp với hate.",,,,,,,
24,9514,Ai cũng hiểu chỉ có một người ko hiểu là Add,"individuals#offensive, groups#offensive",người quản lý kém hiểu biết,"Câu nói ""Ai cũng hiểu chỉ có một người ko hiểu là Add"" sử dụng sự mỉa mai để châm biếm. | Việc dùng từ ""Add"" nhằm ám chỉ người quản lý kém hiểu biết và thiếu năng lực. | Ngôn từ được sử dụng mang tính chỉ trích, làm giảm giá trị của đối tượng. | Phản ánh thái độ khinh thường và góp phần vào nhận định ""offensive"" đối với cá nhân được đề cập.",,,,,,,
25,2087,"Bởi vậy hể nói đến cộng sản là phải nói đến cái ác ôn , láo cá , lưu manh , mọi rợ của bọn quan chức vc !","individuals#offensive, groups#hate, race#hate",cộng sản là ác ôn,"Bài đăng sử dụng chuỗi từ chê bai như ""ác ôn"", ""láo cá"", ""lưu manh"" nhằm gây xúc phạm mạnh mẽ. | Các từ ngữ này nhằm chỉ trích và hạ thấp hình ảnh của các quan chức cộng sản. | Ngôn từ chung chứa đựng định kiến và sự thù địch rõ rệt đối với đối tượng. | Nội dung đạt mức hate do sử dụng từ ngữ cực đoan nhằm mục đích làm mất phẩm giá đối tượng.",,,,,,,
26,1888,Thôi m kut diiiii !!!!!,individuals#offensive,người không được chào đón,"Sử dụng từ viết tắt tục tĩu ""kut"" nhằm mục đích xúc phạm mục tiêu. | Cách kéo dài âm ""diiii"" cho thấy thái độ mỉa mai và khinh miệt. | Lời nói loại trừ và bác bỏ người được nhắc đến. | Ngôn từ ngắn gọn nhưng rõ ràng chứa đựng sự thiếu tôn trọng, phù hợp với ""offensive"".",,,,,,,
27,2041,"Cho dù một tôn giáo nào. Đức tin O mất tiền mua, nhưng cứu cả phần hồn và phần xác..! Là chân lý, là ánh sáng,là con đường tốt đẹp cứu cánh cho cả nhân loại O rơi vào bế tắc, tà ma, diệt vong..Chỉ lủ CS học thuyết vô thần làm con người mất phương hướng, làm XH thêm loạn lạc điêu linh mà thôi..! Các bạn cứ chiêm nghiệm đi, rồi sẻ thấy. Mỗi Chúng ta Hãy giữ lấy đức tin cho chính mình..!",politics#hate,đảng cộng sản gây rối loạn xã hội,"Việc sử dụng các cụm từ như “tà ma” và “diệt vong” nhằm phê phán triết lý vô thần một cách gay gắt. | Lời nói so sánh đức tin với việc “mua” cho thấy sự coi thường giá trị tinh thần của người khác. | Cách liên kết “CS học thuyết” với mất phương hướng cho thấy sự ám chỉ tới chính quyền. | Ngôn từ cực đoan và mỉa mai bộc lộ thái độ thù địch, phù hợp với mức hate chính trị.",,,,,,,
28,5497,ai kêu đi kím chuyện đá xéo minh hiếu trong khi ngta dell dụng j đến mình,individuals#offensive,tấn công vô cớ,Câu 'ai kêu đi' tạo ra sắc thái châm biếm và thách thức đối với người khác. | Cách diễn đạt 'đá xéo minh hiếu' cho thấy tính châm chọc và tấn công không có cơ sở rõ ràng. | Việc sử dụng từ ngữ gián tiếp nhằm chỉ trích đối tượng mà không đưa ra lý do cụ thể. | Toàn bộ nội dung cho thấy thái độ tấn công vô cớ và thiếu sự khách quan.,,,,,,,
29,9188,Thương Mi Nhon chém hết,"individuals#offensive, groups#offensive",mong muốn bạo lực,"Câu ""Thương Mi Nhon chém hết"" sử dụng từ ""chém"" nhằm ngụ ý hành động bạo lực. | Từ ngữ này mang đậm sắc thái xung đột và tiêu cực đối với cá nhân bị nhắc đến. | Nội dung có hàm ý khuyến khích hay mong muốn bạo lực đối với đối tượng cụ thể. | Với ngôn từ bạo lực và sự tấn công trực tiếp, mức độ phù hợp với nhãn ""offensive"".",,,,,,,
30,4410,"Má, .....xăng xuống giá mà luật CA cứ tăng tên",groups#offensive,công an áp bức dân,"Cách mở đầu câu với từ ""Má,..."" mang tính chất thân mật nhưng lại không trang trọng, gây cảm giác xúc phạm. | Nội dung nói về việc giá xăng và ""luật CA cứ tăng tên"" ám chỉ chỉ trích hành động của cơ quan công an. | Cách sử dụng dấu câu dài và các dấu chấm lửng giúp nhấn mạnh sự bất mãn. | Toàn bộ câu nói ngụ ý một cách châm biếm rằng công an đang áp bức dân, phù hợp với ẩn ý ""công an áp bức dân"".",,,,,,,
31,5839,Cực kì thuyế...hác xì....á chết mẹ..,"individuals#offensive, groups#offensive",người thiếu kiềm chế,"Việc dùng từ ""thuyế"" cùng dấu ba chấm thể hiện tình trạng cảm xúc tràn lan, thiếu kiểm soát. | Cụm ""á chết mẹ"" là lời nói quá đà, biểu hiện sự mất kiềm chế. | Ngữ điệu của câu nói cho thấy tình trạng bộc phát cảm xúc mạnh mà không được kiểm soát. | Cách sử dụng từ ngữ này cho thấy sự chỉ trích về khả năng tự chủ của cá nhân.",,,,,,,
32,3778,Anh Phuong Trinh kệ MẸ NHÀ TÔI hihi,groups#offensive,xúc phạm phụ nữ,"Câu ""Anh Phuong Trinh kệ MẸ NHÀ TÔI"" mang tính xuyên mạc và xúc phạm khi dùng từ ""MẸ NHÀ TÔI"" để hạ thấp danh dự của phụ nữ. | Cách dùng từ ngữ mang tính chế giễu không chỉ nhằm vào cá nhân mà còn phản ánh thái độ không tôn trọng nhóm phụ nữ. | Giọng điệu hài hước (hihi) được sử dụng để làm giảm tính nghiêm trọng của lời nói, nhưng vẫn chứa đựng sự xúc phạm. | Những từ ngữ mang tính khinh miệt phù hợp với mức độ ""offensive"" nhắm vào nhóm đối tượng.",,,,,,,
33,3360,"Bố này bênh Tầu cộng và chống lại nhân dân HK đây. Chả thế mà lại kêu gọi không can thiệp khi cảnh sát trung cộng xịt vòi rồng, bắn đạn hơi cay vào dân HK . Kêu gọi k can thiệp khi trung cộng dày xéo lên nền dân chủ của người HK .... túm lại là đang ủng hộ bạo quyền",race#hate,ủng hộ Trung Cộng là bạo quyền,"Việc sử dụng từ ""Tầu cộng"" có tính xúc phạm và định kiến đối với người Trung Quốc. | Liệt kê các hành động như ""xịt vòi rồng"", ""bắn đạn hơi cay"" nhằm tạo hình ảnh bạo lực không đáng tin cậy. | Cách nói chế giễu và chỉ trích chính quyền, đồng thời liên kết với hành động đàn áp của Trung Cộng. | Ngôn từ cường điệu và mục đích kích động thù địch phù hợp với mức hate speech.",,,,,,,
34,6395,@NGỌC TÂM lúc trước tưởng thật coi.con giờ huy đăng ký kênh luon.éo coi nữa,individuals#offensive,nội dung không đáng tin,Sử dụng '@NGỌC TÂM' để công khai chỉ trích cá nhân đã gây ra cảm giác tiêu cực. | Cách dùng từ 'éo coi nữa' cho thấy sự mất niềm tin và thái độ khinh miệt. | Lời nói chỉ trích quá khứ và hiện tại của người được đề cập một cách công kích. | Phù hợp với nhãn 'individuals#offensive' khi mang tính chất xúc phạm và không tôn trọng.,,,,,,,
35,1720,"Thắng Ok m chui từ cái lol cho ra nói chuyện như thằng vô học, đmm ai nc vs m nhàu vô đây cắn bậy",individuals#hate,người khác là vô học,"Cách nói “thằng vô học” nhằm hạ thấp trí tuệ và năng lực của đối phương. | Các từ ngữ thô tục như “chui” và “đmm” làm tăng tính xúc phạm. | Lối diễn đạt mang giọng điệu chỉ trích và khinh thường rõ ràng. | Những lời lẽ này thể hiện thái độ thù địch và xâm phạm danh dự, nên thuộc loại hate.",,,,,,,
36,6065,"Rõ ràng chức danh chủ tịch mà,sao ý thức lại khác vậy😌((","individuals#hate, groups#offensive",chức vụ cao ý thức kém,"Câu nói mang tính châm biếm khi so sánh giữa chức danh và ý thức của người nắm giữ chức vụ. | Việc sử dụng ""rõ ràng"" và ""sao ý thức lại khác vậy"" cho thấy sự không đồng tình và phê phán. | Ngôn từ ngầm ám chỉ rằng vị trí cao không đảm bảo được phẩm chất đạo đức. | Tone giọng nói mang tính chế giễu và phản cảm, phù hợp với mức độ hate đối với cá nhân.",,,,,,,
37,2086,Chú trung đầu L chứ chú tí đầu lân clg 🤣,individuals#hate,người khác là ngu ngốc,"Việc sử dụng từ 'clg' (cách viết tắt của từ tục tĩu) nhằm xúc phạm đối tượng. | So sánh giữa 'chú trung đầu L' và 'chú tí đầu lân' mang tính chất chế giễu rõ rệt. | Biểu tượng cười kèm theo tăng phần khiếm nhã của lời nói. | Ngôn từ được dùng nhằm mục đích làm đối tượng bị xem là ngu ngốc, thể hiện rõ hate speech.",,,,,,,
38,2388,Thầy xạo lol hả thầy,individuals#hate,giáo viên không trung thực,Cách nói 'thầy xạo lol' sử dụng từ 'xạo' và 'lol' nhằm chế giễu sự trung thực của giáo viên. | Ngôn từ được dùng với mục đích hạ thấp uy tín và giá trị nghề nghiệp của người thầy. | Lời chê bai ngắn gọn nhưng mang tính chất công kích cá nhân rõ rệt. | Giọng điệu châm biếm phản ánh định kiến tiêu cực đối với giáo viên không trung thực.,,,,,,,
39,1050,Con này nước ngoài người ta đang lên án nó: con rối của phe cánh tả(thủ đoạn luôn là đánh lạc hướng và che mắt tình hình chính trị TG) nhờ những buổi tuyên truyền mà gia đình nó ngốn cả đống tiền. Mà các nước ô nhiễm như TQ vs Ấn Độ thì đéo bao giờ ghé tới.,"groups#offensive, race#offensive",người cánh tả là con rối,"Cách dùng từ ""con rối"" nhằm mục đích hạ thấp uy tín của đối tượng chính trị. | Lời nói chỉ trích cách thức hoạt động của ""phe cánh tả"" qua việc nói về tuyên truyền và sử dụng tiền. | Việc đề cập đến các nước như TQ và Ấn Độ với ngôn từ tiêu cực nhằm thêm phần kỳ thị đối với các nhóm dân tộc. | Ngôn từ xúc phạm và phân loại rõ ràng phù hợp với nhãn offensive về nhóm và chủng tộc.",,,,,,,
40,355,địt cụ m thành lê nhé,individuals#hate,người bị khinh bỉ,"Sử dụng từ 'địt' với ngữ cảnh xúc phạm mạnh mẽ đối với đối tượng. | Cách xưng hô 'cụ m' làm tăng tính chất khinh miệt. | Lời nói ngắn gọn, thô tục nhằm công kích trực tiếp cá nhân. | Giọng điệu tiêu cực khẳng định định kiến, thể hiện rõ mức hate speech.",,,,,,,
41,9612,"Trang Bùi mi là trùm ỉa dạo đó Bùi, ghi nhớ dùm","individuals#hate, groups#offensive",người gây phiền toái,"Việc dùng từ ""trùm ỉa dạo"" mang tính hạ thấp và châm biếm, nhằm biểu lộ sự khinh miệt đối với cá nhân. | Cách xưng hô thân mật như ""Trang Bùi mi"" thể hiện sự không tôn trọng đối với người được nhắm đến. | Câu ""ghỉ nhớ dùm"" củng cố ý định truyền tải sự hạ bệ và châm biếm thái độ tiêu cực. | Tổng thể, lời nói nhằm mục đích gán cho đối tượng danh xưng tiêu cực ""người gây phiền toái"" theo ngụ ý.",,,,,,,
42,3995,"Đm cái mỏ như mỏ vịt thề lề, thè lè, thấy ghê jk nào dừa chắc ooke",individuals#hate,ngoại hình xấu xí,"Sử dụng từ “Đm” cùng cụm từ so sánh “mỏ như mỏ vịt” nhằm gây xúc phạm mạnh. | Các từ như “thề lề, thè lè” được dùng để chế nhạo dáng vẻ và ngoại hình của người khác. | Lời nói đồ sộ mang tính hạ thấp và khinh miệt đối với ngoại hình của mục tiêu. | Ngôn từ thô tục và miệt thị này phù hợp với nhãn hate do có tính chất lăng mạ trực tiếp.",,,,,,,
43,4284,Noi. Cho. Nhieu di.  Chu.  Mai. Mot. Gia. Nam ia day. 1 cho.  Luc. Do. Muon. Noi. Cg. K noi. Dc.    Hi,individuals#offensive,tuổi già bất lực,"Cách viết rời rạc và thiếu mạch lạc nhằm tạo ra hiệu ứng mỉa mai, chỉ trích đối tượng. | Những từ ngữ như ""Mot Gia Nam ia day"" được đọc như sự chế giễu, gợi ý về sự bất lực của người lớn tuổi. | Cách chia cách từ làm tăng hiệu ứng châm biếm, ngầm ám chỉ tuổi già không còn năng lực. | Ngôn từ được sử dụng mang tính chất xúc phạm nhẹ, phù hợp với nhãn ""offensive"".",,,,,,,
44,3567,Ngộ l ghê ta ơi,"individuals#offensive, groups#offensive",điều này là vô lý,"Cụm từ ""Ngộ l ghê ta ơi"" được sử dụng với giọng điệu hoài nghi và chế giễu. | Việc rút gọn từ ""Ngộ l"" cho thấy sự mỉa mai đối với hành động hoặc suy nghĩ của đối tượng. | Cách diễn đạt này thể hiện thái độ khinh thường thông qua lời nói ngắn gọn. | Nội dung mang tính châm biếm rằng hành vi của đối tượng là vô lý, phù hợp với mức offensive.",,,,,,,
45,5281,"Cô ba chở vàng qua mỹ :)) nghe hư cấu vl,mày vào xem ký sự 30/4 đi nhé",individuals#hate,tấn công mỉa mai lịch sử sai lệch,"Câu nói 'Cô ba chở vàng qua mỹ' chế nhạo một sự kiện lịch sử theo cách mỉa mai. | Việc thêm 'nghe hư cấu vl' cho thấy sự hoài nghi và khinh miệt đối với sự thật lịch sử. | Lời nói vừa chế giễu vừa phỉ báng nhằm giảm giá trị của câu chuyện lịch sử. | Ngôn từ được lựa chọn để tấn công cá nhân thông qua sự bóp méo thông tin, thể hiện rõ tính hate.",,,,,,,
46,2247,"Có tí tiền hống hách , bgio biết quá muộn rồi , cc tốt nhất im cmnm vào , chấp hành tốt , dù ông có tốt đến mấy cdm có chửi ông sống ko bằng chết .",individuals#hate,người có tiền là kẻ hống hách,"Câu nói đề cập đến 'tiền hống hách' nhằm chỉ trích thái độ của người có tiền. | Việc sử dụng từ ngữ tục tĩu như 'cc', 'cmnm', 'cdm' làm tăng mức độ xúc phạm. | Lời nói mang tính chế giễu và phán xét gay gắt đối với người có địa vị tài chính. | Ngôn ngữ được dùng nhằm mục đích hạ thấp phẩm giá của đối tượng, phù hợp với hate speech.",,,,,,,
47,3771,Từ bi mà chửi đụ má đụ mẹ,"individuals#offensive, religion#offensive",người từ bi giả dối,"Cách kết hợp giữa ""Từ bi"" và cụm từ chửi tục tạo ra sự mâu thuẫn nhằm chế giễu giá trị đạo đức. | Ngôn từ gây sốc nhằm làm nhấn mạnh tính giả dối của người thể hiện ""từ bi"". | Việc sử dụng lời nói thô tục để đối chiếu với hình ảnh đạo đức tạo ra sự phản cảm rõ rệt. | Nhãn offensive về cá nhân và tôn giáo cho thấy mục đích hạ thấp uy tín về đạo đức.",,,,,,,
48,2187,Chưa viết thành Mê Cung là khá rồi. Mà cái thằng soạn thư này chắc cũng không biết Mê Công là cái thứ gì. Thằng ký thì cứ ký!,individuals#offensive,người có quyền là vô trách nhiệm,"Sử dụng từ 'thằng' để hạ thấp giá trị của người soạn thư, mang tính cá nhân. | Cách nói cho thấy sự khinh miệt đối với người có quyền, mặc dù chỉ là châm biếm. | Phản ánh thái độ cho rằng người quyền lực không quan tâm đến chất lượng công việc. | Giọng điệu châm biếm và xúc phạm phù hợp với mức 'offensive'.",,,,,,,
